CR004429284,WPNE,SME_WPNE_005,0048830205,SMEDS_2095_2021 MS14319,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 1,136,430 "," 49,410.00 "
CR004439288,WPNE,SME_WPNE_003,0048983312,SMEDS_2153_2021 MS14397,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 916,826 "," 39,862.00 "
CR001019163,WPNE,SME_WPNE_004,0047063375,SMEDS_1134_2021 MS12762,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 616,203 "," 48,905.00 "
CR004312623,WPS,SME_WPS_004,0048791934,PH Base hospital MS14364,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 23,400 ",
CR004432625,WPS,SME_WPS_005,0048883322,0779155733 MS14337,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 904,843 "," 39,341.00 "
CR000489499,WPS,SME_WPS_003,0045809498,PABX Palindanuwara MS14787,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 220,954 ",
CR000566815,WPS,SME_WPS_004,0045761829,Kethumathi MS14388,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 29,380 ",
CR004399206,WPS,SME_WPS_003,0048359633,WIFI solution ( School Project) MS13427,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 812,337 "," 35,319.00 "
CR004408575,WPS,SME_WPS_003,0048503158,WIFI SOLUTION MS13627,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 826,597 "," 35,939.00 "
CR004092030,WPSE,SME_WPSE_001,0049339850,PABX/0127/2022/OTH/SLT/CH MS14646,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 9,652 ",
CR004426360,WPSE,SME_WPSE_002,0048785032,P.R.Holdings 4th Installment MS14706,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 347,935 ",
CR004426360,WPSE,SME_WPSE_002,0048785032,3rd Installment MS14705,1891,MS_Infrastructure Startup,Infrastructure Initial,SME Solution,DATA," 343,781 ",
